,material_id,800,index,formula_pretty_reduced,spacegroup_symbol,fav,fav_tot,298,298_tot,0.2,0.5,0.001,Conductor?
44,mp-14023,0.0,331,Na3Li3Sc2F12,Ia-3d,7.720944552501144,8.177807430075653,4.434040800794087,4.492887031397578,1.9069185955,3.2270931131,1.0068493150684932,False
45,mp-14115,0.0,311,LiRhO2,R-3m,7.952635383703782,10.670751673708606,6.341164150736992,6.793387064913633,4.9283967672,5.5806845881,0.967741935483871,False
46,mp-14232,0.0,319,LiBO2,I-42d,13.046796892627604,18.13864947211164,9.43826562613818,9.852015981593452,6.8279676551,11.2634137048,0.7987421383647799,False
47,mp-14363,0.0,113,Rb2LiAsO4,Cmc2_1,12.064453398061977,9.3942651861852,2.820798067545837,4.138461586517292,2.6893837894,5.6143639622,0.9680851063829788,False
48,mp-14364,0.0,203,Cs2LiAsO4,Cmc2_1,11.27701056991202,9.086939879831757,2.5482476175169007,4.3326540414684125,3.5389096684,8.6657698413,0.9555555555555556,False
49,mp-14399,7.318e-06,552,LiAlSiO4,P6_222,11.047833546416474,14.352248060722657,5.553711871975914,7.819084051459146,7.171927928,8.4085156959,0.835820895522388,True
50,mp-14476,0.0,686,LiRhO2,Fd-3m,7.338490526871072,10.277235474834056,6.226562068076761,6.353101169295018,4.1044227011,4.1044227011,0.75,False
51,mp-14484,0.0,781,KNaLi2(SO4)2,P2_12_12_1,14.038409812918372,13.211952410486228,3.438228281716142,3.3958248060077394,3.0418096044,3.7061351426,1.0,False
52,mp-14488,2.013e-05,468,Li3In2(PO4)3,P2_1/c,11.183767516283805,13.98018784191352,4.631136080871293,7.677425327693148,7.5563760373,9.3018462892,0.7272727272727273,True
53,mp-14495,0.0,518,Li6ZnO4,P4_2/nmc,13.45905084313429,12.080319804904704,7.288645299086752,9.451583930226407,6.1352508158,10.2401820067,0.9937106918238994,False
54,mp-14591,,730,LiSbS2,R-3,6.887530629915148,5.5478548371831575,3.314161139032086,5.818061275840957,6.1030891496,6.1030891496,0.959731543624161,
55,mp-14638,0.0,772,Rb2LiGaF6,R-3m,7.263340613500645,6.5717437226391375,3.52338565846139,4.009034415034474,3.6553049034,5.1239541832,0.9818181818181818,False
56,mp-14646,1.761e-05,216,Li2Mg2(SO4)3,Pbcn,12.332891364089166,15.002708858129896,4.917365371454951,8.176599957685617,9.6648681763,11.0346919801,0.6893203883495146,True
57,mp-14704,5.634e-06,869,Li6Y(BO3)3,P2_1/c,11.867930054215384,14.840321953157291,5.318453470169007,7.097088544301419,5.9794205966,11.2722097629,0.8125,True
58,mp-14712,0.0,733,Li7PN4,P-43n,13.641259748812502,14.454205364497955,8.888372359001385,9.23934989618656,6.0896673399,13.2667753668,0.9790209790209792,False
59,mp-14753,0.0,390,Li7TaN4,Pa-3,12.589999947795622,12.697053367659224,7.249156937203255,9.142425474683307,5.7347992594,14.1125932209,0.953125,False
60,mp-14827,0.0,494,Li7NbN4,Pa-3,12.500828570528917,12.645264996368626,7.904235640748586,9.02103919458706,5.8837788781,14.3447506372,0.948905109489051,False
61,mp-14854,0.0,211,Sr2LiIn(B2O5)2,P2_1/c,26.67691506793227,14.893391780719115,4.547985378490735,6.137868087513209,18.5757870918,20.659065804,0.9797979797979798,False
62,mp-14871,0.0,82,Li16Ta2N8O,R-3,12.65990422198086,12.585472487427968,6.790667685599499,8.869568522609235,5.295319666,7.3934652992,0.8819444444444444,False
63,mp-15079,0.0,93,Cs4KLiGa2F12,R-3m,7.854060309835454,7.308574928511481,3.0303220439429994,3.112645617254313,2.2893619289,8.9711167926,1.0113636363636365,False
64,mp-15254,0.0,493,Li3AlF6,C2/c,11.507420168605218,10.317975967626817,5.328175995791618,7.485880383304163,5.7267350116,6.9394975931,0.9627329192546584,False
65,mp-15349,0.0,8,Li2GeO3,Cmc2_1,12.44712682567694,12.240735226784656,6.260078476823307,9.311231903857058,7.8009679036,13.7293502772,0.9246575342465754,False
66,mp-15362,0.0,503,Li3Nd2(BO3)3,P2_1/c,11.249406057873388,14.294195974369892,4.873267007812251,7.553059506634614,5.66613724,9.9327661422,0.7745098039215687,False
67,mp-15472,0.0,541,Ba4LiCu(CO5)2,I-42m,11.335723574568291,10.971521945538194,3.6541105180798703,3.6425664893588334,1.9344858179,2.4621031344,0.7083333333333334,False
68,mp-15543,0.0,682,NaLiZr(Si2O5)3,Cmce,15.245862853562445,14.816945808555312,3.907008841632357,3.669669422329177,2.5383448012,2.997155655,0.9931506849315068,False
69,mp-15549,0.0,741,K2LiAlF6,R-3m,8.016669070441342,7.830665570784569,3.731201466560546,3.56759950523331,2.3446352659,3.1163467818,0.991150442477876,False
70,mp-15558,2.284e-06,515,Li3GaF6,C2/c,11.241934372578822,9.310260214213518,4.1862163631054825,6.67389583118842,5.5715273783,6.4173653596,0.9447852760736196,True
71,mp-15788,0.0,659,LiYS2,R-3m,6.247852548429677,6.009907628297812,4.507287010096066,5.701660378177802,5.103046132,5.103046132,0.9395973154362416,False
72,mp-15789,0.0,658,LiDyS2,R-3m,6.303917149154504,5.7846911447168,3.938688488033117,5.773956193994186,5.1459969441,5.1459969441,0.9183673469387756,False
73,mp-15790,0.0,97,LiHoS2,R-3m,6.373693727994913,5.817012708835133,3.93350451469464,5.850805182495955,5.1843959317,5.1843959317,0.9178082191780822,False
74,mp-15791,0.0,98,LiErS2,R-3m,6.446023976932024,5.868850320713589,3.956196325810844,5.931551789177378,5.2971424883,5.2971424883,0.9103448275862068,False
75,mp-15793,0.0,484,LiTbSe2,R-3m,5.951427077197285,4.256810148426606,3.1237561620078216,5.528853350563718,5.4912709614,5.4912709614,0.8657718120805369,False
76,mp-15794,0.0,839,LiYSe2,R-3m,5.990666570234301,4.522704332269972,3.471908001261808,5.546625593248893,5.1230661501,5.54331768,0.9403973509933776,False
